TaxonomicName,CatalogueNumber,Clade,Order,Family,Genus,FullName,VernacularName,TypeStatus,TypeName,DecimalLatitude,DecimalLongitude,Locality,RecordedBy,RecordNumber,CollectionDate,Country,InstitutionCode,ImageFile,Habit,LeafArrangement,LeafForm,LeafVenation,LeafMargin,Stipules,Exudate,StemArmature,Tendrils,LeafSample,DNAextracted,DNAsequenced,DNAnotes,EditedAt
Leptolaena diospyroidea,K000300421,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,,,,"Perrier de la Bâthie, J.M.H.A.",17876,1922-07-01 00:00:00,Madagascar,K,K000300421,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000300412,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,,,,"Croat, T.B.",29899,1975-01-27 00:00:00,Madagascar,K,K000300412,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000300416,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,22.4833,45.4,,"Dorr, L.J.; Barnett, L.C.; Rakotozafy, A.; Cheek, M.R.; Razafimalala, N.",4182,1985-03-27 00:00:00,Madagascar,K,K000300416,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000391086,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,-20.5928,46.5936,,"Labat, J.-.N.; Haevermans, T.; Rabenantoandro, J.; Cook, B.",3038,1999-03-26 00:00:00,Madagascar,K,K000391086,,,,,,,,,,,,,,
Xerochlamys diospyroidea,K000751454,,,Sarcolaenaceae,Xerochlamys,Xerochlamys diospyroidea,,,,,,,"Randriamboavonjy, T.; Rakotovao, A.; Rakotonirina, J.N.P.; Lazasoa, L.N.; Ralaivelonalohotsy; Rajaonarison, R.",RTI1026,2012-02-03 00:00:00,Madagascar,K,K000751454,,,,,,,,,,,,,Not attempted,
Leptolaena diospyroidea,K000391088,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,-20.6003,46.5675,,"Messmer, N.; Andriatsiferana, F.",750,1999-02-01 00:00:00,Madagascar,K,K000391088,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000300414,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,,,,"Cours, G.",5045,1955-01-30 00:00:00,Madagascar,K,K000300414,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000300411,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,Type,Xerochlamys,,,,"Perrier de la Bâthie, J.M.H.A.",3027,1904-05-01 00:00:00,Madagascar,K,K000300411,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000300418,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,,,,"Capuron, R.",11672,1955-01-24 00:00:00,Madagascar,K,K000300418,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000300413,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,,,,"Capuron, R.",18574,1958-06-17 00:00:00,Madagascar,K,K000300413,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000300419,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,,,,"Perrier de la Bâthie, J.M.H.A.",,1929-01-01 00:00:00,Madagascar,K,K000300419,,,,,,,,,,,,,,
Leptolaena diospyroidea,K000300417,,,Sarcolaenaceae,Leptolaena,Leptolaena diospyroidea,,,,,,,"Humbert, H.",28153,1955-01-17 00:00:00,Madagascar,K,K000300417,,,,,,,,,,,,,,
